[2024-04-27  15:20:48.684] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '1', '0', '12396532', '11120', '0', '0', 'S', 'init'])
[2024-04-27  15:20:48.684] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '2', '0', '0', '0', '0', '0', 'S', '[kthreadd]'])
[2024-04-27  15:20:48.685] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '3', '2', '0', '0', '0', '0', 'I', '[rcu_gp]'])
[2024-04-27  15:20:48.685] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '4', '2', '0', '0', '0', '0', 'I', '[rcu_par_gp]'])
[2024-04-27  15:20:48.685] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '6', '2', '0', '0', '0', '0', 'I', '[kworker/0:0H-kblockd]'])
[2024-04-27  15:20:48.685] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '8', '2', '0', '0', '0', '0', 'I', '[mm_percpu_wq]'])
[2024-04-27  15:20:48.685] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '9', '2', '0', '0', '0', '0', 'S', '[ksoftirqd/0]'])
[2024-04-27  15:20:48.686] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '10', '2', '0', '0', '0', '0', 'I', '[rcu_preempt]'])
[2024-04-27  15:20:48.686] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '11', '2', '0', '0', '0', '0', 'S', '[migration/0]'])
[2024-04-27  15:20:48.686] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '13', '2', '0', '0', '0', '0', 'S', '[cpuhp/0]'])
[2024-04-27  15:20:48.686] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '14', '2', '0', '0', '0', '0', 'S', '[cpuhp/1]'])
[2024-04-27  15:20:48.686] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '15', '2', '0', '0', '0', '0', 'S', '[migration/1]'])
[2024-04-27  15:20:48.686] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '16', '2', '0', '0', '0', '0', 'S', '[ksoftirqd/1]'])
[2024-04-27  15:20:48.687] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '18', '2', '0', '0', '0', '0', 'I', '[kworker/1:0H-kblockd]'])
[2024-04-27  15:20:48.687] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '19', '2', '0', '0', '0', '0', 'S', '[cpuhp/2]'])
[2024-04-27  15:20:48.687] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '20', '2', '0', '0', '0', '0', 'S', '[migration/2]'])
[2024-04-27  15:20:48.687] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '21', '2', '0', '0', '0', '0', 'S', '[ksoftirqd/2]'])
[2024-04-27  15:20:48.687] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '23', '2', '0', '0', '0', '0', 'I', '[kworker/2:0H-kblockd]'])
[2024-04-27  15:20:48.688] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '24', '2', '0', '0', '0', '0', 'S', '[cpuhp/3]'])
[2024-04-27  15:20:48.688] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '25', '2', '0', '0', '0', '0', 'S', '[migration/3]'])
[2024-04-27  15:20:48.688] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '26', '2', '0', '0', '0', '0', 'S', '[ksoftirqd/3]'])
[2024-04-27  15:20:48.688] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '28', '2', '0', '0', '0', '0', 'I', '[kworker/3:0H-kblockd]'])
[2024-04-27  15:20:48.688] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '29', '2', '0', '0', '0', '0', 'S', '[cpuhp/4]'])
[2024-04-27  15:20:48.688] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '30', '2', '0', '0', '0', '0', 'S', '[migration/4]'])
[2024-04-27  15:20:48.689] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '31', '2', '0', '0', '0', '0', 'S', '[ksoftirqd/4]'])
[2024-04-27  15:20:48.689] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '33', '2', '0', '0', '0', '0', 'I', '[kworker/4:0H-kblockd]'])
[2024-04-27  15:20:48.689] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '34', '2', '0', '0', '0', '0', 'S', '[cpuhp/5]'])
[2024-04-27  15:20:48.689] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '35', '2', '0', '0', '0', '0', 'S', '[migration/5]'])
[2024-04-27  15:20:48.689] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '36', '2', '0', '0', '0', '0', 'S', '[ksoftirqd/5]'])
[2024-04-27  15:20:48.689] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '38', '2', '0', '0', '0', '0', 'I', '[kworker/5:0H-kblockd]'])
[2024-04-27  15:20:48.690] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '39', '2', '0', '0', '0', '0', 'S', '[cpuhp/6]'])
[2024-04-27  15:20:48.690] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '40', '2', '0', '0', '0', '0', 'S', '[migration/6]'])
[2024-04-27  15:20:48.690] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '41', '2', '0', '0', '0', '0', 'S', '[ksoftirqd/6]'])
[2024-04-27  15:20:48.690] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '43', '2', '0', '0', '0', '0', 'I', '[kworker/6:0H-kblockd]'])
[2024-04-27  15:20:48.690] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '44', '2', '0', '0', '0', '0', 'S', '[cpuhp/7]'])
[2024-04-27  15:20:48.690] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '45', '2', '0', '0', '0', '0', 'S', '[migration/7]'])
[2024-04-27  15:20:48.691] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '46', '2', '0', '0', '0', '0', 'S', '[ksoftirqd/7]'])
[2024-04-27  15:20:48.691] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '48', '2', '0', '0', '0', '0', 'I', '[kworker/7:0H-kblockd]'])
[2024-04-27  15:20:48.691] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '49', '2', '0', '0', '0', '0', 'I', '[netns]'])
[2024-04-27  15:20:48.691] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '50', '2', '0', '0', '0', '0', 'S', '[rcu_tasks_kthre]'])
[2024-04-27  15:20:48.691] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '52', '2', '0', '0', '0', '0', 'S', '[kauditd]'])
[2024-04-27  15:20:48.691] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '54', '2', '0', '0', '0', '0', 'S', '[qrtr_ns]'])
[2024-04-27  15:20:48.692] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '55', '2', '0', '0', '0', '0', 'I', '[kworker/u16:1-adb]'])
[2024-04-27  15:20:48.692] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '58', '2', '0', '0', '0', '0', 'S', '[msm-watchdog]'])
[2024-04-27  15:20:48.692] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '59', '2', '0', '0', '0', '0', 'S', '[khungtaskd]'])
[2024-04-27  15:20:48.692] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '60', '2', '0', '0', '0', '0', 'S', '[oom_reaper]'])
[2024-04-27  15:20:48.692] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '61', '2', '0', '0', '0', '0', 'I', '[writeback]'])
[2024-04-27  15:20:48.692] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '62', '2', '0', '0', '0', '0', 'S', '[kcompactd0]'])
[2024-04-27  15:20:48.693] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '76', '2', '0', '0', '0', '0', 'I', '[cryptd]'])
[2024-04-27  15:20:48.693] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '108', '2', '0', '0', '0', '0', 'I', '[kblockd]'])
[2024-04-27  15:20:48.693] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '109', '2', '0', '0', '0', '0', 'I', '[blk_crypto_wq]'])
[2024-04-27  15:20:48.693] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '110', '2', '0', '0', '0', '0', 'I', '[blkcg_punt_bio]'])
[2024-04-27  15:20:48.693] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '111', '2', '0', '0', '0', '0', 'I', '[wq_dump]'])
[2024-04-27  15:20:48.693] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '112', '2', '0', '0', '0', '0', 'I', '[wq_dump]'])
[2024-04-27  15:20:48.694] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '113', '2', '0', '0', '0', '0', 'I', '[wq_dump]'])
[2024-04-27  15:20:48.694] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '114', '2', '0', '0', '0', '0', 'I', '[wq_dump]'])
[2024-04-27  15:20:48.694] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '115', '2', '0', '0', '0', '0', 'I', '[wq_dump]'])
[2024-04-27  15:20:48.694] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '116', '2', '0', '0', '0', '0', 'I', '[wq_dump]'])
[2024-04-27  15:20:48.694] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '117', '2', '0', '0', '0', '0', 'I', '[wq_dump]'])
[2024-04-27  15:20:48.695] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '118', '2', '0', '0', '0', '0', 'I', '[wq_dump]'])
[2024-04-27  15:20:48.695] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '119', '2', '0', '0', '0', '0', 'I', '[wq_dump]'])
[2024-04-27  15:20:48.695] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '120', '2', '0', '0', '0', '0', 'I', '[wq_dump]'])
[2024-04-27  15:20:48.695] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '121', '2', '0', '0', '0', '0', 'I', '[wq_dump]'])
[2024-04-27  15:20:48.695] loggerx.py -> logger line:55 [INFO] : ========> parse_process - ('REPLACE INTO LOGPID VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?)', ['root', '122', '2', '0', '0', '0', '0', 'I', '[wq_dump]'])
